Text,Identifies text: Diaries by year number; texts in vol 5 by text number; GYTs by tablet inventory number
Obj,planet
T_Era,king for regnal year or SE for Seleucid Era
T_Y,year number in Babylonian calendar
T_M,month number in Bab calendar
T_D,day number in Bab calendar
T_T,f = first part of night; l = last part of night
NS_Id,identifies normal star
NS_No,number of normal star in Sachs-Hunger list
Up,Y if there is a measurement above or below
Up_C,number of cubits; positive means above; negative means below
Up_F,number of fingers
Ahead,Y if there is a measurement behind or in front
Ahead_C,number of cubits; positive means behind; negative means in front
Ahead_F,number of fingers
Notes,miscellaneous including indication of uncertain readings or corrections to text
J_Y,Julian year number using astronomical convention -x = x+1 B.C.
J_M,number of Julian month
J_D,number of Julian calendar day; always the number of the day preceding the night
P_Long,tropical longitude from JPL ephemeris; midnight for outer planets; 4 hours before or after midnight for inners; midnight = 21 UT
P_Lat,latitude from JPL
NS_Long,tropical longitude of NS
NS_Lat,latitude of NS


Text,Obj,T_Era,T_Y,T_M,T_D,T_T,NS_Id,NS_No,Up,Up_C,Up_F,Ahead,Ahead_C,Ahead_F,Notes,J_Y,J_M,J_D,P_Long,P_Lat,NS_Long,NS_Lat
H60,Jupiter,Artax_II,44,4,23,,zTau,7,Y,0.67,,N,,,,-360,8,2,52.040021,-0.8009118,51.98472833,-2.494971667
H60,Jupiter,Artax_II,44,7,24,,zTau,7,,,,N,,,,-360,10,31,52.2499145,-0.8191169,51.98472833,-2.494971667
H60,Jupiter,Artax_II,44,12,21,,zTau,7,,,,N,,,,-359,3,24,52.1491607,-0.3476591,51.99856946,-2.494844292
H60,Jupiter,Artax_III,3,2,14,,aVir,23,Y,1.67,,,,,,-355,5,30,170.9907071,1.6311145,171.140734,-1.90167875
H60,Jupiter,Artax_III,3,10,20,,bSco,27,,,,N,,,,-354,1,29,210.3646438,1.2447182,210.4941354,1.297500167
H60,Jupiter,Artax_III,4,6,12,,bSco,27,,,,N,,,,-354,9,13,210.1297968,0.8019589,210.4941354,1.297500167
H60,Jupiter,Artax_III,4,9,11,,thOph,29,,,,N,,,,-354,12,10,229.3433949,0.6513359,228.6863091,-1.519735917
H60,Jupiter,Artax_III,13,3,24,,rLeo,19,Y,0.5,,N,,,,-345,6,19,123.4417354,1.0216603,123.8006979,0.025624583
H66,Jupiter,Artax_II,44,3,18,,bTau,6,,,,N,,,,-360,6,29,46.4189701,-0.7902427,49.77272167,5.190125
H66,Jupiter,Artax_II,44,4,23,,zTau,7,Y,1,,N,,,,-360,8,2,52.040021,-0.8009118,51.98472833,-2.494971667
H66,Jupiter,Artax_II,44,7,24,,zTau,7,,,,N,,,,-360,10,31,52.2499145,-0.8191169,51.98472833,-2.494971667
H66,Jupiter,Artax_II,44,11,29,,bTau,6,Y,-3,,N,,,,-359,3,3,48.8222227,-0.406649,49.78656221,5.190207708
H66,Jupiter,Artax_II,44,12,21,,zTau,7,Y,,18,N,,,,-359,3,24,52.1491607,-0.3476591,51.99856946,-2.494844292
H66,Jupiter,Artax_II,46,5,2,,eLeo,17,Y,-4,,N,,,,-358,8,19,108.6181372,0.5488977,107.9208173,9.530767917
H66,Jupiter,Artax_II,46,6,23,,aLeo,18,Y,,3,N,,,,-358,10,9,117.1214432,0.6988386,117.2109088,0.360103
H66,Jupiter,Artax_II,46,9,16,,aLeo,18,Y,,8,N,,,,-358,12,30,117.2291002,1.0346108,117.2109088,0.360103
H66,Jupiter,Artax_III,1,2,26,,aLeo,18,Y,,6,N,,,,-357,6,4,117.1328154,0.9694444,117.224684,0.360157833
H66,Jupiter,Artax_III,1,7,19,,bVir,21,Y,,4,N,,,T_D {1}9,-357,10,24,145.4519724,1.1515521,143.8888228,0.642615042
H66,Jupiter,Artax_III,1,12,3,,bVir,21,Y,0.5,,N,,,,-356,3,3,143.4667984,1.6381573,143.9028827,0.6426495
H66,Jupiter,Artax_III,2,3,14,,bVir,21,Y,,8,N,,,,-356,6,10,143.7205534,1.3324511,143.9028827,0.6426495
H66,Jupiter,Artax_III,2,8,3,,aVir,23,Y,1.67,,N,,,,-356,10,26,170.8421301,1.2624408,171.1269062,-1.901623667
H66,Jupiter,Artax_III,3,2,14,,aVir,23,Y,1.67,,N,,,,-355,5,31,170.5303245,1.4927975,171.140734,-1.90167875
H66,Jupiter,Artax_III,3,11,30,,bSco,27,Y,0,,N,,,,-354,3,9,210.5848085,1.3453225,210.4941354,1.297500167
H66,Jupiter,Artax_III,5,12,10,,bCap,30,,,,N,,,,-352,2,25,271.2191664,-0.1098101,271.341566,4.847202
H66,Jupiter,Artax_III,6,3,15,,bCap,30,Y,-2.5,,N,,,,-352,6,28,272.2815837,-0.4762907,271.341566,4.847202
H66,Jupiter,Artax_III,6,7,11,,bCap,30,Y,-2,-8,,,,,-352,10,19,271.4492938,-0.5815561,271.341566,4.847202
H66,Jupiter,Artax_III,10,4,11,,zTau,7,Y,0.67,,N,,,,-348,7,9,52.2943973,-0.7019499,52.15082183,-2.493443167
H66,Jupiter,Artax_III,10,9,21,,zTau,7,Y,0.67,,N,,,distance?,-348,12,14,52.0583953,-0.5831662,52.15082183,-2.493443167
H66,Jupiter,Artax_III,10,12,6,,zTau,7,Y,0.67,,N,,,,-347,2,25,52.2958218,-0.3293455,52.16466296,-2.493315792
H66,Jupiter,Artax_III,11,1,1,,hGem,8,Y,0.5,,N,,,,-347,4,20,61.1725844,-0.1950065,60.81830675,-1.198879333
H66,Jupiter,Artax_III,11,1,18,,mGem,9,,,,N,,,,-347,5,7,64.7369508,-0.1611123,62.64463667,-1.061005083
H66,Jupiter,Artax_III,11,4,3,,bGem,12,Y,-3,,N,,,,-347,7,19,80.8004571,-0.0338453,80.98249067,6.499461833
H66,Jupiter,Artax_III,12,2,27,,dCnc,16,Y,,6,N,,,,-346,6,4,95.8538106,0.5053532,96.08923908,-0.0209365
H66,Jupiter,Artax_III,12,6,13,,aLeo,18,Y,,2,N,,,,-346,9,16,117.5066738,0.6955013,117.3762113,0.360761
